Tanggal,Provinsi,Kasus Aktif
3/17/2022,Jawa Barat,28983
3/18/2022,Jawa Barat,29030
3/19/2022,Jawa Barat,29400
3/20/2022,Jawa Barat,28503
3/21/2022,Jawa Barat,27674
3/22/2022,Jawa Barat,27826
3/23/2022,Jawa Barat,27607
3/24/2022,Jawa Barat,26460
3/25/2022,Jawa Barat,26473
3/26/2022,Jawa Barat,25832
3/27/2022,Jawa Barat,25024
3/28/2022,Jawa Barat,24712
3/29/2022,Jawa Barat,24946
3/30/2022,Jawa Barat,24807
3/31/2022,Jawa Barat,25054
4/1/2022,Jawa Barat,24726
4/2/2022,Jawa Barat,24899
4/3/2022,Jawa Barat,24865
4/4/2022,Jawa Barat,24905
4/5/2022,Jawa Barat,25118
4/6/2022,Jawa Barat,25369
4/7/2022,Jawa Barat,25443
4/8/2022,Jawa Barat,24921
4/9/2022,Jawa Barat,25378
4/10/2022,Jawa Barat,25891
4/11/2022,Jawa Barat,25968
4/12/2022,Jawa Barat,27061
4/13/2022,Jawa Barat,27421
4/14/2022,Jawa Barat,28303
4/15/2022,Jawa Barat,28126
4/16/2022,Jawa Barat,28507
4/17/2022,Jawa Barat,28634
4/18/2022,Jawa Barat,28987
4/19/2022,Jawa Barat,29547
4/20/2022,Jawa Barat,30282
4/21/2022,Jawa Barat,28934
4/22/2022,Jawa Barat,28926
4/23/2022,Jawa Barat,28938
4/24/2022,Jawa Barat,28555
4/25/2022,Jawa Barat,28834
4/26/2022,Jawa Barat,29924
4/27/2022,Jawa Barat,30225
4/28/2022,Jawa Barat,30534
4/29/2022,Jawa Barat,30483
4/30/2022,Jawa Barat,30454
5/1/2022,Jawa Barat,30443
5/2/2022,Jawa Barat,30626
5/3/2022,Jawa Barat,30958
5/4/2022,Jawa Barat,30461
5/5/2022,Jawa Barat,30144
5/6/2022,Jawa Barat,29588
5/7/2022,Jawa Barat,30173
5/8/2022,Jawa Barat,30394
5/9/2022,Jawa Barat,30321
5/10/2022,Jawa Barat,29071
5/11/2022,Jawa Barat,29353
5/12/2022,Jawa Barat,29392
5/13/2022,Jawa Barat,29181
5/14/2022,Jawa Barat,29104
5/15/2022,Jawa Barat,29246
5/16/2022,Jawa Barat,29590
